Workflow_ID,Process_Name,Task_ID,Task_Type,Priority_Level,Department,Assigned_Employee_ID,Task_Start_Time,Task_End_Time,Estimated_Time_Minutes,Actual_Time_Minutes,Delay_Flag,Approval_Level,Employee_Workload,Cost_Per_Task,workload_bin,start_date,start_month,start_hour,start_dayofweek,start_month_num,anomaly,cluster,pca1,pca2,dbscan_cluster
WF_1,Customer Complaint,TASK_1,Review,Low,Customer Service,EMP_128,2024-01-25 04:47:00,2024-01-25 08:33:00,208,226,1,Level 1,1,155.17,0-2,2024-01-25,2024-01,4,3,1,1,1,0.1544495961645623,-0.6181951342563653,0
WF_2,HR Onboarding,TASK_2,Approval,Low,HR,EMP_35,2024-05-24 02:57:00,2024-05-24 06:19:00,194,202,1,Level 2,5,231.54,5-6,2024-05-24,2024-05,2,4,5,1,3,-0.7690980124866572,-1.5203257412329332,1
WF_3,Invoice Approval,TASK_3,Review,High,Finance,EMP_88,2024-03-22 03:34:00,2024-03-22 08:51:00,214,317,1,Level 1,8,280.95,7-8,2024-03-22,2024-03,3,4,3,1,0,1.6900813569271609,-0.1082808712576539,2
WF_4,Customer Complaint,TASK_4,Review,Medium,Operations,EMP_133,2024-06-10 10:37:00,2024-06-10 13:36:00,176,179,1,Level 3,1,413.74,0-2,2024-06-10,2024-06,10,0,6,1,2,-0.3046181398946587,1.7893186115248816,3
WF_5,Customer Complaint,TASK_5,Escalation,Medium,Finance,EMP_80,2024-07-02 11:38:00,2024-07-02 15:36:00,197,238,1,Level 3,3,152.3,3-4,2024-07-02,2024-07,11,1,7,1,0,1.798442256093457,-0.3985926588772961,4
WF_6,Customer Complaint,TASK_6,Validation,Low,Operations,EMP_61,2024-05-23 11:14:00,2024-05-23 15:01:00,199,227,1,Level 2,5,160.06,5-6,2024-05-23,2024-05,11,3,5,1,2,-0.21212808384905085,1.8497240357898164,3
WF_7,Purchase Order,TASK_7,Escalation,Medium,Customer Service,EMP_55,2024-06-27 21:21:00,2024-06-27 23:14:00,84,113,1,Level 3,6,440.88,5-6,2024-06-27,2024-06,21,3,6,1,1,0.365380282286293,-0.2935531051502848,0
WF_8,Purchase Order,TASK_8,Data Entry,Low,IT,EMP_42,2024-08-13 07:44:00,2024-08-13 11:45:00,204,241,1,Level 1,4,406.61,3-4,2024-08-13,2024-08,7,1,8,1,1,-1.5265424394298672,0.17534836309102597,5
WF_9,Purchase Order,TASK_9,Escalation,Low,Customer Service,EMP_21,2024-12-27 21:26:00,2024-12-28 00:22:00,59,176,1,Level 3,2,180.92,0-2,2024-12-27,2024-12,21,4,12,1,1,0.26464040667577726,-0.5738189257625685,0
WF_10,IT Support Ticket,TASK_10,Approval,High,Operations,EMP_2,2024-06-17 01:14:00,2024-06-17 02:37:00,23,83,1,Level 3,1,313.09,0-2,2024-06-17,2024-06,1,0,6,1,2,-0.0702473044239962,1.7217273321420123,-1
WF_11,Customer Complaint,TASK_11,Approval,Medium,Finance,EMP_140,2024-07-15 01:41:00,2024-07-15 05:45:00,235,244,1,Level 2,9,290.34,9-10,2024-07-15,2024-07,1,0,7,1,0,1.8531897671903619,-0.07643055086207196,4
WF_12,HR Onboarding,TASK_12,Approval,Medium,Finance,EMP_133,2024-04-19 21:58:00,2024-04-20 00:48:00,167,170,1,Level 1,3,428.89,3-4,2024-04-19,2024-04,21,4,4,1,0,1.8193738500853176,-0.2819125301846044,4
WF_13,IT Support Ticket,TASK_13,Escalation,Medium,HR,EMP_22,2024-03-19 08:52:00,2024-03-19 10:57:00,103,125,1,Level 1,5,386.51,5-6,2024-03-19,2024-03,8,1,3,1,3,-0.6794090266800258,-1.4630480237970975,1
WF_14,HR Onboarding,TASK_14,Escalation,Low,HR,EMP_102,2024-03-29 03:06:00,2024-03-29 08:52:00,229,346,1,Level 2,3,138.07,3-4,2024-03-29,2024-03,3,4,3,-1,3,-1.0601579451212493,-1.6197728077537141,-1
WF_15,Purchase Order,TASK_15,Escalation,Medium,Operations,EMP_51,2024-12-04 21:57:00,2024-12-05 01:18:00,133,201,1,Level 1,10,144.8,9-10,2024-12-04,2024-12,21,2,12,1,2,-0.050039929498728264,2.050108275831907,3
WF_16,Invoice Approval,TASK_16,Review,High,IT,EMP_143,2024-10-22 00:16:00,2024-10-22 02:35:00,65,139,1,Level 2,4,487.35,3-4,2024-10-22,2024-10,0,1,10,1,1,-1.3557935614719308,0.19231002660594365,5
WF_17,Purchase Order,TASK_17,Escalation,Critical,Operations,EMP_88,2024-12-27 07:57:00,2024-12-27 10:06:00,81,129,1,Level 2,4,192.46,3-4,2024-12-27,2024-12,7,4,12,1,2,-0.049959421674749926,1.8020494454621319,3
WF_18,Invoice Approval,TASK_18,Approval,High,Operations,EMP_59,2024-08-23 13:17:00,2024-08-23 15:46:00,105,149,1,Level 1,9,427.43,9-10,2024-08-23,2024-08,13,4,8,1,2,-0.08441661341409186,2.1303728631485,3
WF_19,HR Onboarding,TASK_19,Validation,Medium,Customer Service,EMP_120,2024-01-15 13:57:00,2024-01-15 14:32:00,24,35,1,Level 2,6,273.65,5-6,2024-01-15,2024-01,13,0,1,1,1,0.5914433481275951,-0.3888917882001804,8
WF_20,Purchase Order,TASK_20,Review,Low,HR,EMP_108,2024-12-05 02:37:00,2024-12-05 05:26:00,160,169,1,Level 2,5,109.32,5-6,2024-12-05,2024-12,2,3,12,1,3,-0.6519914315298017,-1.5850073258454014,1
WF_21,Invoice Approval,TASK_21,Review,Medium,IT,EMP_114,2024-03-06 14:06:00,2024-03-06 19:24:00,233,318,1,Level 2,5,335.36,5-6,2024-03-06,2024-03,14,2,3,1,1,-1.6304225425406553,0.20027504052966816,5
WF_22,Customer Complaint,TASK_22,Data Entry,High,IT,EMP_58,2024-03-02 22:25:00,2024-03-03 04:07:00,236,342,1,Level 3,10,245.28,9-10,2024-03-02,2024-03,22,5,3,-1,1,-1.537337711044488,0.37567463978008087,5
WF_23,Invoice Approval,TASK_23,Approval,Critical,Customer Service,EMP_30,2024-04-26 14:39:00,2024-04-26 18:00:00,94,201,1,Level 3,6,237.15,5-6,2024-04-26,2024-04,14,4,4,1,1,0.27398075739997624,-0.3716059223051975,0
WF_24,Customer Complaint,TASK_24,Validation,Low,IT,EMP_80,2024-04-21 14:27:00,2024-04-21 18:40:00,206,253,1,Level 3,5,469.47,5-6,2024-04-21,2024-04,14,6,4,1,1,-1.5560836066783676,0.2501831615499511,5
WF_25,Purchase Order,TASK_25,Validation,Critical,HR,EMP_1,2024-04-11 19:55:00,2024-04-11 22:16:00,25,141,1,Level 1,4,196.04,3-4,2024-04-11,2024-04,19,3,4,1,3,-0.6527649763928933,-1.5924174673317941,1
WF_26,HR Onboarding,TASK_26,Review,Medium,Operations,EMP_56,2024-08-29 06:53:00,2024-08-29 09:47:00,62,174,1,Level 3,5,202.24,5-6,2024-08-29,2024-08,6,3,8,1,2,-0.12350023826099854,1.8586447606570695,3
WF_27,Invoice Approval,TASK_27,Review,Low,IT,EMP_9,2024-05-07 19:33:00,2024-05-08 00:44:00,200,311,1,Level 2,7,53.42,7-8,2024-05-07,2024-05,19,1,5,-1,1,-1.4573669393406123,0.1506594262295392,-1
WF_28,Invoice Approval,TASK_28,Review,High,Finance,EMP_92,2024-11-13 23:49:00,2024-11-14 00:44:00,28,55,1,Level 2,8,341.32,7-8,2024-11-13,2024-11,23,2,11,1,0,2.1899850904545284,-0.1342570959880089,4
WF_29,Invoice Approval,TASK_29,Approval,High,HR,EMP_18,2024-04-29 20:22:00,2024-04-29 22:02:00,73,100,1,Level 1,3,355.81,3-4,2024-04-29,2024-04,20,0,4,1,3,-0.6579496116356556,-1.5679790415120607,1
WF_30,IT Support Ticket,TASK_30,Review,Low,HR,EMP_86,2024-02-07 10:46:00,2024-02-07 16:22:00,236,336,1,Level 3,7,334.2,7-8,2024-02-07,2024-02,10,2,2,1,3,-1.0390170213762893,-1.358668676752125,10
WF_31,Invoice Approval,TASK_31,Validation,Low,Customer Service,EMP_110,2024-09-01 00:46:00,2024-09-01 04:08:00,88,202,1,Level 2,7,285.27,7-8,2024-09-01,2024-09,0,6,9,1,1,0.2726321038906782,-0.30603303388278535,0
WF_32,Invoice Approval,TASK_32,Review,High,HR,EMP_44,2024-05-13 10:34:00,2024-05-13 13:49:00,161,195,1,Level 3,10,98.6,9-10,2024-05-13,2024-05,10,0,5,1,3,-0.5960110599200881,-1.3716522798329527,1
WF_33,Purchase Order,TASK_33,Escalation,Critical,HR,EMP_107,2024-11-11 00:00:00,2024-11-11 04:00:00,211,240,1,Level 1,3,181.64,3-4,2024-11-11,2024-11,0,0,11,1,3,-0.865891234317402,-1.621225997829137,1
WF_34,HR Onboarding,TASK_34,Review,Low,Customer Service,EMP_21,2024-07-25 15:38:00,2024-07-25 18:35:00,131,177,1,Level 1,9,270.29,9-10,2024-07-25,2024-07,15,3,7,1,1,0.37042920770789284,-0.23311674034541358,0
WF_35,HR Onboarding,TASK_35,Validation,Low,Operations,EMP_91,2024-09-10 00:50:00,2024-09-10 02:01:00,63,71,1,Level 2,5,384.66,5-6,2024-09-10,2024-09,0,1,9,1,2,0.006848240697341397,1.9234953417208938,3
WF_36,Invoice Approval,TASK_36,Escalation,High,IT,EMP_26,2024-09-23 16:04:00,2024-09-23 19:02:00,163,178,1,Level 1,6,194.45,5-6,2024-09-23,2024-09,16,0,9,1,1,-1.2703568955218796,0.14708450998060363,5
WF_37,Invoice Approval,TASK_37,Data Entry,Low,Operations,EMP_87,2024-11-20 19:28:00,2024-11-20 21:05:00,86,97,1,Level 3,4,94.41,3-4,2024-11-20,2024-11,19,2,11,1,2,0.055063203779337114,1.749008985469907,3
WF_38,HR Onboarding,TASK_38,Validation,High,IT,EMP_147,2024-08-25 06:42:00,2024-08-25 11:01:00,229,259,1,Level 3,2,159.5,0-2,2024-08-25,2024-08,6,6,8,1,1,-1.5010089343203148,-0.022999711548588597,5
WF_39,Invoice Approval,TASK_39,Validation,Low,Finance,EMP_90,2024-02-18 16:12:00,2024-02-18 19:19:00,108,187,1,Level 2,10,376.48,9-10,2024-02-18,2024-02,16,6,2,1,0,1.9522244592551,-0.004945416289688752,4
WF_40,Purchase Order,TASK_40,Validation,Medium,Customer Service,EMP_5,2024-01-25 17:32:00,2024-01-25 20:09:00,154,157,1,Level 2,4,388.34,3-4,2024-01-25,2024-01,17,3,1,1,1,0.25766330189916176,-0.39445330474172885,0
WF_41,Purchase Order,TASK_41,Escalation,High,Finance,EMP_131,2024-11-28 01:01:00,2024-11-28 04:35:00,201,214,1,Level 1,5,291.08,5-6,2024-11-28,2024-11,1,3,11,1,0,1.830111324153938,-0.2527360896294936,4
WF_42,Customer Complaint,TASK_42,Validation,High,HR,EMP_138,2024-01-17 17:00:00,2024-01-17 20:46:00,161,226,1,Level 3,7,439.36,7-8,2024-01-17,2024-01,17,2,1,1,3,-0.8624192465040722,-1.3318208923318713,1
WF_43,Invoice Approval,TASK_43,Escalation,Medium,Customer Service,EMP_77,2024-04-24 05:47:00,2024-04-24 08:05:00,111,138,1,Level 1,2,333.11,0-2,2024-04-24,2024-04,5,2,4,1,1,0.27732794146268597,-0.5097387559015363,0
